time,extreme maximum temperatures
2010-02-27,2.6421216
2010-03-08,2.2708151
2010-04-06,2.9231472
2010-04-07,2.653902
2010-04-08,3.3043075
2010-04-09,3.423874
2010-04-10,3.3076103
2010-06-01,3.0881295
2010-06-02,2.966416
2010-08-05,2.5460057
2010-12-14,1.611547
2010-12-16,2.4706435
2010-12-17,2.7145662
2011-03-15,1.5504425
2011-03-16,2.8688138
2011-05-29,3.16173
2011-06-04,1.0156953
2011-06-05,3.4021847
2011-08-22,2.7708263
2011-08-23,3.20621
2011-08-24,3.2049437
2011-12-02,1.7318844
2011-12-03,2.5854208
2012-07-08,1.7318844
2012-09-26,1.4278481
2012-09-27,3.5858836
2013-01-02,1.2190145
2013-01-03,2.4862018
2013-01-04,2.6963186
2013-01-05,2.5418334
2013-01-10,1.2962219
2013-03-17,1.4729173
2013-03-18,3.1024504
2013-04-17,2.4194298
2013-05-08,1.3132145
2013-07-25,2.1859746
2013-07-26,3.2739282
2013-08-14,1.2589226
2013-08-15,3.2125854
2013-09-25,1.658497
2013-09-26,3.3557892
2013-10-29,2.1598158
2013-10-30,3.1630175
2013-12-07,1.5801615
2014-01-05,2.460184
2014-02-15,1.196099
2014-02-16,3.041742
2014-02-17,2.95417
2014-02-18,2.2554965
2015-01-23,2.4118853
2015-01-31,2.290892
2015-02-01,2.562422
2015-03-29,1.8020532
2015-03-30,2.7734554
2015-06-19,1.8600821
2015-07-05,2.645693
2015-09-02,1.7858362
2015-09-03,3.2419875
2016-04-27,1.1624663
2016-04-28,3.0604975
2016-06-11,2.2141078
2016-06-12,3.443643
2016-08-21,1.5127549
2016-08-22,3.9819088
2016-10-28,1.5614766
2016-10-29,3.8561208
2016-10-30,3.1149304
2016-11-18,1.4304004
2016-11-19,3.1367176
2016-12-05,2.5322442
2016-12-15,1.6380494
2016-12-16,2.8509448
2017-03-14,2.0419953
2017-05-19,2.7326307
2017-05-20,3.0891945
2017-07-18,1.5312283
2017-08-11,2.6149511
2017-08-12,3.4368038
2017-08-13,3.4231253
2017-08-14,3.3069263
2017-08-21,1.3964151
2018-01-27,2.228421
2018-01-28,2.730022
2018-02-13,1.5122614
2018-06-03,1.0533184
2018-07-10,2.1894295
2018-07-11,3.4707186
2018-08-26,1.537433
2018-08-27,3.2149122
2018-10-07,2.8457272
2018-10-28,1.7247754
2018-10-29,3.032435
2018-12-08,1.9191687
2018-12-09,3.3947806
2019-02-16,1.7043278
2019-02-17,2.6636024
2019-03-11,2.4315574
2019-03-28,2.6370206
2019-07-06,2.8066652
2019-07-07,3.3182783
2019-07-18,2.877315
2019-11-02,1.4513416
2019-11-03,2.9540288
2019-12-03,2.2805977
2020-01-18,1.9414494
2020-01-19,2.706472
2020-02-22,1.3317584
2020-02-23,2.6145282
2020-03-03,2.4701257
2020-04-04,2.8467143
2020-04-05,3.0078273
2020-04-09,2.869277
2020-05-27,2.4354353
2020-05-28,3.2908502
2020-08-21,2.3912969
2020-10-04,1.753543
2020-10-05,3.1520886
2020-12-06,1.5944043
2020-12-07,2.8312728
2021-02-06,2.38481
2021-02-07,2.6033173
2021-04-01,2.3238902
2021-04-21,2.2935712
2021-04-22,3.2653966
2021-04-23,2.989354
2021-07-29,2.4766126
2021-07-30,3.3285022
2022-01-31,2.2970967
2022-03-31,0.9351454
2022-04-01,2.6186178
2022-04-02,3.175286
2022-04-15,2.663673
2022-05-18,2.125619
2022-05-19,3.6374018
2022-05-20,3.3799736
2022-08-10,1.9086628
2022-08-11,4.5934334
2022-08-19,1.8088222
2022-08-29,1.8814464
2022-08-30,3.24784
2022-11-01,1.4854679
2022-11-02,2.950856
2022-12-20,2.0764742
