time,extreme maximum temperatures
1981-02-06,1.5613539
1981-02-07,2.4450154
1981-03-02,1.445296
1981-03-29,2.5279045
1981-04-17,2.5287023
1981-04-18,3.0161984
1981-05-17,3.1275368
1981-06-08,2.3990178
1981-06-09,3.7239785
1981-09-05,2.5797517
1981-10-20,2.144036
1981-10-21,2.8630497
1981-10-29,2.4250078
1981-10-30,3.0468414
1982-04-28,1.2145761
1982-04-29,3.2911878
1982-07-14,1.6411188
1982-09-19,0.94676566
1982-09-20,3.6413555
1982-10-14,2.448871
1982-10-16,2.7157507
1982-10-17,2.9817665
1982-10-19,1.6787411
1982-10-20,3.1408973
1982-12-03,0.8592237
1982-12-08,1.7333801
1982-12-09,2.727782
1983-01-06,2.3980207
1983-01-07,2.552964
1983-08-02,1.4843808
1983-08-03,3.5691018
1983-08-04,3.3680277
1983-10-24,2.5341527
1984-02-08,2.1888375
1984-02-09,2.3628578
1984-03-14,2.3102129
1984-03-15,2.532092
1984-03-31,2.4541883
1984-07-22,2.3426507
1984-08-25,1.0460064
1984-08-26,3.4394174
1985-01-05,2.1300774
1985-01-06,2.5055704
1985-06-07,2.9598978
1985-06-08,3.228971
1985-06-09,2.9462047
1985-06-10,3.6884832
1985-07-08,2.9131021
1985-07-11,2.408789
1985-08-28,1.1311555
1985-10-08,1.3562918
1985-10-09,3.0185914
1985-11-04,2.4310567
1986-04-16,3.0148025
1986-07-28,1.6188511
1986-09-21,2.602817
1986-10-23,1.2985287
1986-10-24,2.943413
1986-11-11,1.2892892
1986-11-12,3.1013474
1986-12-19,1.8255085
1986-12-30,2.0164123
1986-12-31,2.5085616
1987-02-09,0.6854694
1987-02-10,3.1813116
1987-03-10,0.9794693
1987-03-11,3.893944
1987-03-12,2.7280478
1987-05-25,2.05676
1987-06-16,1.5975139
1987-07-31,2.4898167
1987-08-01,3.3551989
1988-02-01,1.3400064
1988-02-02,3.0615978
1988-04-09,2.803891
1988-06-05,2.1433713
1988-08-10,1.6853882
1988-08-11,3.5141969
1988-08-12,3.1304615
1989-05-06,1.5665386
1989-05-07,3.5851877
1989-05-26,0.84014666
1989-05-27,3.1286669
1989-05-28,2.855871
1989-07-06,3.1506686
1989-09-03,2.9184864
1989-09-16,1.6900412
1989-09-17,3.3473554
1989-10-13,1.1818061
1989-10-14,2.9168246
1990-04-18,1.1418573
1990-04-19,3.3651695
1990-04-20,3.2152781
1990-05-19,2.8210404
1990-06-11,2.1633127
1990-07-23,2.724392
1990-07-24,3.2047758
1990-11-28,1.8054343
1990-11-29,3.188025
1990-12-29,0.9992111
1991-02-24,2.141739
1991-03-27,2.4835413
1991-04-20,2.3241909
1991-08-02,1.5755047
1991-10-01,2.195394
1991-10-07,1.6166774
1991-10-08,3.1742253
1991-11-02,1.7972043
1991-11-03,2.9372492
1991-12-28,2.5256455
1991-12-29,2.666614
1992-01-16,0.9963534
1992-01-17,2.7976468
1992-01-25,2.0742354
1992-08-25,2.9395468
1992-11-05,1.8466985
1992-11-18,1.740382
1993-02-22,0.997347
1993-02-23,2.9078133
1993-04-10,2.3729398
1993-05-15,2.6228333
1993-05-28,2.9604127
1993-06-19,2.4398844
1993-07-25,2.0352364
1993-07-26,3.1976995
1993-08-12,2.5305514
1993-10-06,2.1010008
1994-01-11,1.7330542
1994-01-24,2.4260361
1994-02-06,0.89991105
1994-02-07,2.4392014
1994-03-07,1.6829388
1994-03-08,3.4097733
1994-03-09,3.3158772
1994-03-10,2.678227
1994-04-08,2.0611322
1994-04-09,3.267749
1994-05-12,1.5202972
1994-06-26,2.552535
1994-07-09,1.6366117
1994-07-23,1.0684524
1994-10-29,1.260654
1994-10-30,3.073436
1994-10-31,3.1444793
1994-11-19,1.7589502
1995-02-19,0.93990386
1995-02-20,2.3835592
1995-02-21,2.569116
1995-04-13,1.9550021
1995-04-14,2.9841971
1995-06-19,1.708897
1995-08-05,2.6583548
1995-08-06,2.8774462
1995-09-04,2.9348893
1995-09-13,2.7792027
1995-09-14,3.7167373
1995-09-20,2.0072908
1995-09-21,3.315815
1995-10-30,2.4553475
1995-10-31,3.0408952
1995-12-11,2.4775796
1995-12-12,2.60973
1995-12-29,1.614566
1995-12-30,2.8923502
1995-12-31,2.8067756
1996-02-12,0.9075494
1996-02-13,2.742315
1996-02-14,2.5027304
1996-03-22,1.7093318
1996-04-18,2.7193377
1996-04-29,2.9892895
1996-06-29,2.862045
1996-06-30,3.4579635
1996-07-21,1.7543547
1996-07-22,4.317872
1996-10-15,1.3972135
1997-04-27,2.0590208
1997-06-01,3.1385174
1997-06-02,3.4229388
1997-06-08,2.9936986
1997-08-09,2.936442
1997-10-03,1.9897164
1997-10-04,3.1318107
1997-10-05,3.5730362
1997-10-21,2.9614685
1997-10-23,2.7290254
1998-01-08,1.3636171
1998-01-20,2.0325038
1998-02-11,1.1371357
1998-02-12,2.4122496
1998-03-12,2.6117792
1998-03-13,2.996307
1998-03-18,2.403804
1998-03-19,2.840434
1998-03-27,2.5181935
1998-03-28,2.8443465
1998-06-12,1.8938329
1999-02-13,1.9275537
1999-04-17,1.0577089
1999-05-20,1.1044707
1999-05-21,3.2130384
1999-05-30,1.4747152
1999-05-31,3.4873993
1999-06-01,3.5491273
1999-08-14,1.3438069
1999-08-15,3.268991
1999-08-16,3.349722
1999-09-25,2.9018517
1999-09-26,3.0282266
2000-02-16,1.1671304
2000-02-17,2.5372584
2000-07-17,3.0091617
2000-12-01,1.9890332
2000-12-17,1.4988103
2001-05-05,1.8256464
2001-05-06,3.196147
2001-05-07,4.1075373
2001-09-17,2.8973804
2001-10-09,2.6057556
2002-01-16,1.7898511
2002-01-17,2.9768753
2002-02-03,2.1594508
2002-02-04,2.8561525
2002-02-05,2.5651078
2002-03-21,1.2974918
2002-03-22,3.1555095
2002-03-23,2.735815
2002-09-02,2.4232461
2002-10-22,1.3747808
2002-10-23,3.044145
2002-12-20,2.566484
2003-01-09,2.2613468
2003-01-10,2.6081562
2003-01-24,1.3506142
2003-01-25,2.4537985
2003-03-22,1.8436341
2003-04-12,1.1523824
2003-04-13,2.955296
2003-09-11,2.5671446
2003-11-02,1.0190533
2003-11-03,2.9270008
2003-12-11,2.4889748
2004-07-11,1.604886
2004-09-12,1.6195291
2004-09-13,3.5115123
2004-11-14,2.70774
2004-11-15,3.2619195
2004-11-16,2.880374
2004-12-23,1.9322081
2004-12-24,2.8910537
2005-01-26,1.5962985
2005-04-26,2.31524
2005-04-27,3.1372333
2005-07-06,2.109301
2005-07-07,3.2945638
2005-08-10,2.6772428
2005-08-11,3.5487804
2006-02-10,1.7171311
2006-02-11,2.4730656
2006-04-17,1.4851542
2006-04-18,2.9321754
2006-04-24,1.7155898
2006-06-03,2.1134298
2006-06-04,3.1992185
2006-06-05,3.17841
2006-06-27,1.4094067
2006-06-28,3.6729162
2006-06-29,3.2262478
2006-07-30,2.3629124
2006-08-21,1.7844012
2006-08-22,3.2574055
2006-09-04,2.1376514
2006-09-05,3.4209013
2006-09-06,3.313941
2006-11-09,2.1492667
2006-11-10,2.995922
2006-11-12,1.5528647
2006-11-13,2.9572227
2007-04-27,0.8885319
2007-04-28,2.9893713
2007-05-09,1.7625468
2007-05-10,3.5848927
2007-05-30,2.997794
2007-07-29,3.4653811
2007-09-25,2.9267254
2007-11-05,1.5639846
2007-11-06,2.892595
2008-01-30,2.4168606
2008-02-27,1.9766327
2008-02-28,2.4477432
2008-04-15,2.1478355
2008-04-30,1.2727197
2008-05-31,3.235386
2008-06-16,1.6689081
2008-09-05,1.2353413
2008-09-06,3.1654735
2008-10-18,2.3351126
2008-10-19,3.0117214
2008-11-17,1.7337561
2008-11-18,3.2596073
2008-11-22,2.7186399
2008-11-23,3.2383034
2008-12-04,2.557676
2008-12-05,2.8128288
2009-01-04,2.0506737
2009-01-05,3.0839458
2009-01-21,2.2095456
2009-04-11,2.169745
2009-04-13,1.7733915
2009-07-12,1.4166181
2009-10-01,2.1936915
2009-10-02,3.0840008
2009-12-13,1.2337999
2009-12-14,2.8874204
2009-12-15,2.7909193
2010-01-01,1.41871
2010-02-25,1.2435436
2010-02-26,2.6469107
